objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Kingdom Defenders","193512","7.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","128382524","5.85191","7.54978","3.1176","4244","774","thing","Kingdom Defenders","2","4","90","90","60","2018","2,3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Knarr","379629","8","5","0","1","0","0","0","0","0","0","0","2","","","","","","116352246","6.99072","7.47047","1.907","511","12730","thing","Knarr","2","4","30","30","30","2023","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Knives Out","407006","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","127208007","5.52441","6.405","1.75","17915","132","thing","Knives Out","3","10","25","25","20","2024","3,4,5,6,7,8,9,10","6,7,8,9,10","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Las Vegas Royale","271319","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","113286819","6.66969","7.46306","1.4474","968","7018","thing","Las Vegas Royale","2","5","60","60","45","2019","3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Liberation","251442","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","79146241","5.89051","6.8088","2.3214","3923","3774","thing","Liberation","2","2","30","30","30","2019","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Linko","153065","8.5","4","0","1","0","0","0","0","0","0","0","3","","","","","","79472673","6.55684","6.99957","1.3927","1182","10416","thing","Linko","2","5","20","20","20","2014","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Lord of the Rings: Duel for Middle-earth","421006","9","8","0","1","0","0","0","0","0","0","0","3","","","","","","122809760","7.97317","8.35903","2.0724","21","39677","thing","The Lord of the Rings: Duel for Middle-earth","2","2","30","30","30","2024","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Lord of the Rings: The Confrontation","18833","8","4","0","1","0","0","0","0","0","0","0","3","","","","","","75940265","6.96021","7.50606","2.1901","546","8304","thing","The Lord of the Rings: The Confrontation","2","2","30","30","30","2005","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Lord of the Rings: The Fellowship of the Ring – Trick-Taking Game","429293","9","28","0","1","0","0","0","0","0","0","0","3","","","","","","123619880","7.42459","7.97444","1.9429","162","23531","thing","The Lord of the Rings: The Fellowship of the Ring – Trick-Taking Game","1","4","20","20","20","2025","1,2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lords of Xidit","156566","7.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","87282612","6.6416","7.07328","2.6372","1018","9655","thing","Lords of Xidit","3","5","90","90","90","2014","4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Cities","50","7.5","2","0","1","0","0","0","0","0","0","0","3","","","","","","98154685","7.15228","7.25841","1.4751","343","75843","thing","Lost Cities","2","2","30","30","30","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Ruins of Arnak","312484","8.5","4","0","1","0","0","0","0","0","0","0","3","","","","","","121783667","7.91469","8.08231","2.9319","30","85486","thing","Lost Ruins of Arnak","1","4","120","120","30","2020","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mafiozoo","217466","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","114033115","5.68491","6.7271","2.4286","6594","1117","thing","Mafiozoo","2","4","60","60","60","2017","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mage Knight","864","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","85357684","5.69387","6.23246","2.382","6386","1690","thing","Mage Knight","2","4","60","60","60","2000","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mage Knight: Ultimate Edition","248562","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","128582468","7.97446","8.84494","4.6543","0","21137","thing","Mage Knight: Ultimate Edition","1","5","150","150","150","2018","1,2,3","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Magic: The Gathering Universes Beyond — The Lord of the Rings: Tales of Middle-earth","392223","9","7","0","1","0","0","0","0","0","0","0","3","","","","","","109740381","5.60725","7.49779","3.8","0","644","thing","Magic: The Gathering Universes Beyond — The Lord of the Rings: Tales of Middle-earth","2","8","0","0","0","2023","2,3,4,5,6,7,8","2,4,8","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel: Remix","359152","8.5","29","0","1","0","0","0","0","0","0","0","3","","","","","","107871546","6.52347","7.29289","1.807","1255","5917","thing","Marvel: Remix","2","6","20","20","20","2022","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Marvel: Remix – Squirrel Girl Promo Card","372440","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","108809085","5.53049","7.0049","0","0","374","thing","Marvel: Remix – Squirrel Girl Promo Card","2","6","20","20","20","2022","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Match of the Century","393973","8.5","2","0","1","0","0","0","0","0","0","0","3","","","","","","114504658","6.16069","7.46314","2.5814","2359","3047","thing","Match of the Century","2","2","45","45","30","2023","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Middle-Earth Quest","31563","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134823064","6.67754","7.38303","3.5488","946","6827","thing","Middle-Earth Quest","2","4","180","180","180","2009","2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Mindbug: First Contact","345584","7.5","12","0","1","0","0","0","0","0","0","0","3","","","","","","87945010","7.0697","7.56459","1.9336","418","18402","thing","Mindbug: First Contact","2","2","25","25","15","2022","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Ming Voyages","301030","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","84909515","5.73285","6.94421","2.4545","5667","1430","thing","The Ming Voyages","1","2","30","30","30","2020","1,2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Miyabi","285533","9","4","0","1","0","0","0","0","0","0","0","3","","","","","","87945024","6.36218","7.43542","2.0357","1667","3288","thing","Miyabi","2","4","45","45","45","2019","2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Molt soroll per un rei","340292","7.5","2","0","1","0","0","0","0","0","0","0","3","","","","","","108916889","5.54729","7.92778","2","13524","96","thing","Molt soroll per un rei","1","1","60","60","30","2021","1","1","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Monopoly Deal","164840","5.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","86963822","5.89968","6.36198","1.2955","3839","9017","thing","Monopoly Deal","2","3","15","15","15","2014","2,3","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Morels","122298","8","7","0","1","0","0","0","0","0","0","0","3","","","","","","112219562","6.65011","6.9692","1.7366","1003","19297","thing","Morels","2","2","30","30","30","2012","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mottainai","175199","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","84555106","6.51843","7.04271","3.1701","1270","8488","thing","Mottainai","2","5","30","30","15","2015","2,3","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Neko Syndicate","415792","8","5","0","1","0","0","0","0","0","0","0","3","","","","","","117856427","5.85068","7.29277","2.6316","4257","1582","thing","Neko Syndicate","1","4","40","40","20","2024","1,2,3,4","1,2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"No, gracias","12942","9","17","0","1","0","0","0","0","0","0","0","3","","","","","","95750761","6.95504","7.08134","1.1301","551","46187","thing","No Thanks!","3","7","20","20","20","2022","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Mercurio","Spanish","2022","Mercurio Spanish edition"
"Noah","116858","7.5","2","0","1","0","0","0","0","0","0","0","3","","","","","","136353705","5.79972","6.30328","1.32","4782","2168","thing","Noah","2","5","30","30","30","2012","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Oh my park!","368265","7.5","12","2","1","0","0","0","0","0","0","0","3","","","","","","99979423","5.54323","6.73535","2","14089","279","thing","Oh my park!","2","5","10","10","10","2022","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"One Night Ultimate Werewolf","147949","8.5","16","0","1","0","0","0","0","0","0","0","3","","","","","","97994355","6.85563","7.03221","1.383","677","59053","thing","One Night Ultimate Werewolf","3","10","10","10","10","2014","4,5,6,7,8,9,10","6,7,8","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"One Night Ultimate Werewolf: Daybreak","163166","9","8","0","1","0","0","0","0","0","0","0","3","","","","","","144257205","6.7637","7.28004","1.4065","804","17104","thing","One Night Ultimate Werewolf: Daybreak","3","10","10","10","10","2015","4,5,6,7,8,9","6,7,8","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Orchard: 9 card solitaire game","245487","8.5","8","0","1","0","0","0","0","0","0","0","3","","","","","","82083486","6.58178","7.22912","1.1933","1131","9010","thing","Orchard: 9 card solitaire game","1","1","10","10","5","2018","1","1","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Paco Ŝako","232974","8","6","0","1","0","0","0","0","0","0","0","3","","","","","","96294042","5.73103","7.50645","2.9091","5697","848","thing","Paco Ŝako","2","2","60","60","15","2017","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pan Am","303057","9","4","0","1","0","0","0","0","0","0","0","3","","","","","","87573869","7.03886","7.52553","2.412","455","17657","thing","Pan Am","2","4","60","60","60","2020","2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Panda Spin","417323","8.5","8","0","1","0","0","0","0","0","0","0","3","","","","","","138607346","6.14324","7.11427","2.0465","2444","2991","thing","Panda Spin","2","5","40","40","25","2024","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Paris: Eiffel","331654","7.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","82724604","5.79378","7.48379","2","0","2578","thing","Paris: Eiffel","2","2","30","30","20","2021","2","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Paris: La Cité de la Lumière","276498","8.5","6","0","1","0","0","0","0","0","0","0","3","","","","","","79379047","6.69836","7.21347","2.0268","916","13108","thing","Paris: La Cité de la Lumière","2","2","30","30","30","2019","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Patchistory","144041","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","138144968","6.24672","7.04983","3.7654","2033","3285","thing","Patchistory","2","4","120","120","60","2013","2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
