objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Root: Underworld Hirelings Pack","361193","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97378664","6.12837","8.29156","3.1429","0","6628","thing","Root: Underworld Hirelings Pack","2","4","90","90","60","2022","2,3,4","3,4","12+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Rustling Leaves","313531","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","106711433","6.04608","6.8831","1.6271","2915","3417","thing","Rustling Leaves","2","6","20","20","20","2020","1,2,3,4,5,6","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Safari Splash!","368650","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","100951861","5.52825","6.99417","1","16934","142","thing","Safari Splash!","2","6","1","1","1","2022","2,3,4,5,6","3,4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Samurai","3","10","4","0","1","0","0","0","0","0","0","0","2","","","","","","75940794","7.2221","7.48189","2.4409","283","17505","thing","Samurai","2","4","60","60","30","1998","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sanctuary","441696","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","130691839","6.67246","7.68729","2.8148","963","5769","thing","Sanctuary","1","5","100","100","40","2025","1,2,3,4","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Sanctuary: Kiosk Promo Tile","456590","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","142212371","5.53225","7.48378","0","0","483","thing","Sanctuary: Kiosk Promo Tile","1","5","0","0","0","2025","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Schneeble","228420","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","92128835","5.52808","6.95286","2","16976","258","thing","Schneeble","3","5","25","25","15","2017","4","4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"SCOUT","291453","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","127699692","7.58313","7.79218","1.3906","105","53878","thing","SCOUT","2","5","20","20","20","2019","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sea Salt & Paper","367220","9","32","0","1","0","0","0","0","0","0","0","3","","","","","","104687874","7.25842","7.50548","1.4748","259","46865","thing","Sea Salt & Paper","2","4","45","45","30","2022","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sea Salt & Paper: Extra Pepper","442250","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140926337","6.17245","8.04124","1.4444","0","6334","thing","Sea Salt & Paper: Extra Pepper","2","4","45","45","30","2025","2,3,4","2","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Sea Salt & Paper: Extra Salt","396545","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111133011","6.7665","7.79402","1.4286","0","15071","thing","Sea Salt & Paper: Extra Salt","2","4","45","45","30","2023","2,3,4","2","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
